id,name,scientific_name,life_time
57,"Seal, northern fur",Callorhinus ursinus,65.5
58,Australian magpie,Gymnorhina tibicen,33.1
59,Reindeer,Rangifer tarandus,32.5
60,Yak,Bos mutus,69.6
61,Silver-backed jackal,Canis mesomelas,44.7
62,Black-crowned crane,Balearica pavonina,29.5
63,Red-breasted nuthatch,Sitta canadensis,5.8
64,Woolly-necked stork,Ciconia episcopus,49.9
65,"Barbet, levaillant's",Trachyphonus vaillantii,7.7
66,Short-beaked echidna,Tachyglossus aculeatus,16.7
67,"Lizard, frilled",Chlamydosaurus kingii,16.1
68,Springbok,Antidorcas marsupialis,48.6
69,Guanaco,Lama guanicoe,49.4
70,"Dove, white-winged",Zenaida asiatica,15.6
71,Spotted-tailed quoll,Dasyurus maculatus,38.9
72,Magnificent frigate bird,Fregata magnificans,44.5
73,"Beaver, european",Castor fiber,6.5
74,"Turtle, eastern box",Terrapene carolina,13.2
75,Eagle owl (unidentified),Bubo sp.,25.9
76,Golden-mantled ground squirrel,Spermophilus lateralis,11.7
77,"Gecko, ring-tailed",Cyrtodactylus louisiadensis,4.3
78,Butterfly (unidentified),unavailable,60.0
79,Canada goose,Branta canadensis,4.0
80,"Wallaby, river",Macropus agilis,68.9
81,"Bushbaby, large-eared",Galago crassicaudataus,67.4
82,"Stork, greater adjutant",Leptoptilus dubius,63.7
83,Brown capuchin,Cebus apella,41.0
84,Black-throated cardinal,Paroaria gularis,25.0
85,"Gecko, ring-tailed",Cyrtodactylus louisiadensis,45.7
86,Lizard (unidentified),unavailable,38.3
87,"Lorikeet, scaly-breasted",Trichoglossus chlorolepidotus,33.1
88,"Dolphin, common",Delphinus delphis,59.2
89,African clawless otter,Aonyx capensis,8.4
90,Black-winged stilt,Himantopus himantopus,17.3
91,Sage hen,Centrocercus urophasianus,2.8
92,Asian water buffalo,Bubalus arnee,40.4
93,"Wallaby, river",Macropus agilis,11.8
94,"Crow, pied",Corvus albus,28.4
95,Eastern boa constrictor,Acrantophis madagascariensis,37.5
96,"Gull, pacific",Gabianus pacificus,56.1
97,"Squirrel, uinta ground",Spermophilus armatus,25.4
98,Lilac-breasted roller,Coracias caudata,44.1
99,"Waxbill, blue",Uraeginthus angolensis,62.1
100,Turtle (unidentified),unavailable,10.9
101,Vervet monkey,Cercopithecus aethiops,64.8
102,Thirteen-lined squirrel,Spermophilus tridecemlineatus,58.9
103,Crab-eating raccoon,Procyon cancrivorus,40.0
104,Cereopsis goose,Cereopsis novaehollandiae,28.3
105,Egyptian vulture,Neophron percnopterus,32.6
106,Southern right whale,Eubalaena australis,63.2
107,"Monkey, rhesus",Macaca mulatta,35.7
108,"Porcupine, tree",Coendou prehensilis,39.8
109,Hudsonian godwit,Limosa haemastica,47.2
110,"Sparrow, rufous-collared",Zonotrichia capensis,49.4
111,Four-spotted skimmer,Libellula quadrimaculata,62.0
112,Southern hairy-nosed wombat,Lasiorhinus latifrons,39.7
113,"Cobra, egyptian",Naja haje,40.5
114,"Shark, blue",Prionace glauca,9.7
115,"Gnu, brindled",Connochaetus taurinus,67.7
116,Laughing kookaburra,Dacelo novaeguineae,16.2
117,"Cormorant, little",Phalacrocorax niger,19.6
118,Two-toed sloth,Choloepus hoffmani,16.8
119,"Robin, white-throated",Irania gutteralis,63.0
120,"Nuthatch, red-breasted",Sitta canadensis,33.5
121,Pied kingfisher,Ceryle rudis,66.5
122,Sandhill crane,Grus canadensis,25.5
123,Asian lion,Panthera leo persica,64.0
124,"Genet, small-spotted",Genetta genetta,19.2
125,"Goldeneye, barrows",Bucephala clangula,13.4
126,Cape cobra,Naja nivea,28.8
127,"Jackal, asiatic",Canis aureus,23.1
128,African bush squirrel,Paraxerus cepapi,42.2
129,Snake (unidentified),unavailable,38.0
130,"Langur, hanuman",Semnopithecus entellus,56.5
131,Laughing dove,Streptopelia senegalensis,52.6
132,"Bee-eater, nubian",Merops nubicus,18.0
133,Desert kangaroo rat,Dipodomys deserti,10.4
134,Cape wild cat,Felis libyca,43.2
135,"Legaan, Monitor (unidentified)",Varanus sp.,66.2
136,Two-toed sloth,Choloepus hoffmani,61.0
137,"Cat, civet",Bassariscus astutus,16.4
138,White-fronted capuchin,Cebus albifrons,20.1
139,Slender-billed cockatoo,Cacatua tenuirostris,43.1
140,Sea birds (unidentified),unavailable,51.5
141,North American porcupine,Erethizon dorsatum,34.7
142,"Flamingo, chilean",Phoenicopterus chilensis,1.9
143,Frilled dragon,Chlamydosaurus kingii,11.5
144,"Grouse, sage",Centrocercus urophasianus,45.1
145,Lesser double-collared sunbird,Nectarinia chalybea,12.2
146,"Goose, greylag",Anser anser,6.9
147,Kinkajou,Potos flavus,43.9
148,Feathertail glider,Acrobates pygmaeus,3.0
149,Least chipmunk,Eutamias minimus,18.9
150,Bontebok,Damaliscus dorcas,0.8
151,"Cardinal, black-throated",Paroaria gularis,20.9
152,Dabchick,Tachybaptus ruficollis,43.1
153,Short-nosed bandicoot,Isoodon obesulus,30.3
154,"Vulture, oriental white-backed",Gyps bengalensis,49.5
155,Azara's zorro,Pseudalopex gymnocercus,54.9
156,Chestnut weaver,Ploceus rubiginosus,3.7
157,"Macaque, japanese",Macaca fuscata,33.7
158,Yellow mongoose,Cynictis penicillata,13.8
159,Crowned hawk-eagle,Spizaetus coronatus,24.2
160,"Anteater, giant",Myrmecophaga tridactyla,14.0
161,Agama lizard (unidentified),Agama sp.,20.3
162,"Fowl, helmeted guinea",Numida meleagris,41.9
163,"Sheathbill, snowy",Chionis alba,12.5
164,Arctic fox,Alopex lagopus,58.9
165,"Weaver, lesser masked",Ploceus intermedius,42.5
166,Beisa oryx,Oryx gazella,67.9
167,"Flycatcher, tyrant",Myiarchus tuberculifer,5.4
168,Australian pelican,Pelecanus conspicillatus,12.3
169,Boat-billed heron,Cochlearius cochlearius,62.4
170,Amazon parrot (unidentified),Amazona sp.,38.9
171,Wattled crane,Bugeranus caruncalatus,46.2
172,Yak,Bos mutus,65.7
173,Black-crowned crane,Balearica pavonina,46.4
174,"Boa, cook's tree",Corallus hortulanus cooki,4.9
175,Painted stork,Mycteria leucocephala,11.1
176,"Barbet, crested",Trachyphonus vaillantii,54.1
177,Bent-toed gecko,Cyrtodactylus louisiadensis,57.6
178,"Goose, greylag",Anser anser,15.4
179,Black rhinoceros,Diceros bicornis,12.1
180,"Vulture, griffon",Gyps fulvus,11.7
181,Common green iguana,Iguana iguana,54.2
182,Tiger,Panthera tigris,51.2
183,North American beaver,Castor canadensis,63.4
184,European stork,Ciconia ciconia,26.6
185,"Glider, feathertail",Acrobates pygmaeus,47.8
186,"Plover, blacksmith",Vanellus armatus,53.7
187,"Dove, galapagos",Zenaida galapagoensis,37.0
188,Turkey vulture,Cathartes aura,63.4
189,African darter,Anhinga rufa,58.4
190,"Dragonfly, russian",Libellula quadrimaculata,68.2
191,"Turtle, long-necked",Chelodina longicollis,22.4
192,"Lemming, collared",Dicrostonyx groenlandicus,48.1
193,Land iguana,Conolophus subcristatus,34.5
194,"Stork, yellow-billed",Mycteria ibis,60.6
195,"Rhinoceros, square-lipped",Ceratotherium simum,36.5
196,Flightless cormorant,Nannopterum harrisi,45.0
197,Common waterbuck,Kobus defassa,29.1
198,"Cat, european wild",Felis silvestris lybica,40.3
199,"Bushbaby, large-eared",Galago crassicaudataus,42.2
200,"Bulbul, african red-eyed",Pycnonotus nigricans,11.0
201,"Iguana, common green",Iguana iguana,65.2
202,California sea lion,Zalophus californicus,69.8
203,Red-tailed cockatoo,Calyptorhynchus magnificus,4.4
204,Pied butcher bird,Cracticus nigroagularis,60.0
205,Coqui partridge,Francolinus coqui,33.3
206,Aardwolf,Proteles cristatus,12.0
207,European red squirrel,Sciurus vulgaris,12.5
208,Grey mouse lemur,Microcebus murinus,25.4
209,"Loris, slender",Loris tardigratus,60.2
210,Little brown bat,Myotis lucifugus,9.6
211,"Bear, grizzly",Ursus arctos,69.4
212,"Catfish, blue",Ictalurus furcatus,6.5
213,Bohor reedbuck,Redunca redunca,42.9
214,"Fox, silver-backed",Vulpes chama,8.2
215,"Macaw, green-winged",Ara chloroptera,11.0
216,Blue catfish,Ictalurus furcatus,4.6
217,Azara's zorro,Pseudalopex gymnocercus,50.6
218,"Macaque, bonnet",Macaca radiata,8.2
219,Galapagos dove,Zenaida galapagoensis,10.4
220,Grey phalarope,Phalaropus fulicarius,51.2
221,"Quoll, eastern",Dasyurus viverrinus,50.3
222,Prehensile-tailed porcupine,Coendou prehensilis,62.6
223,"Sparrow, rufous-collared",Zonotrichia capensis,34.8
224,"Polecat, african",Ictonyx striatus,14.5
225,Frilled dragon,Chlamydosaurus kingii,23.9
226,Yellow-brown sungazer,Cordylus giganteus,45.6
227,White-browed sparrow weaver,Plocepasser mahali,29.2
228,Tree porcupine,Coendou prehensilis,21.4
229,"Legaan, Monitor (unidentified)",Varanus sp.,15.6
230,Potoroo,Potorous tridactylus,58.6
231,"Chipmunk, least",Eutamias minimus,34.2
232,Komodo dragon,Varanus komodensis,29.2
233,"Hartebeest, red",Alcelaphus buselaphus caama,12.6
234,"Fox, cape",Vulpes chama,25.9
235,"Raccoon, crab-eating",Procyon cancrivorus,3.4
236,"Dolphin, common",Delphinus delphis,50.3
237,"Francolin, coqui",Francolinus coqui,16.5
238,"Deer, mule",Odocoileus hemionus,66.0
239,Western spotted skunk,Spilogale gracilis,18.7
240,Long-tailed jaeger,Stercorarius longicausus,13.1
241,White-throated kingfisher,Halcyon smyrnesis,37.6
242,"Magpie, black-backed",Gymnorhina tibicen,56.6
243,Blue-tongued lizard,Tiliqua scincoides,59.8
244,Brolga crane,Grus rubicundus,18.1
245,"Baboon, yellow",Papio cynocephalus,53.7
246,"Bird, pied butcher",Cracticus nigroagularis,35.4
247,Roe deer,Capreolus capreolus,42.6
248,Flying fox (unidentified),unavailable,19.4
249,White-tailed jackrabbit,Lepus townsendii,3.5
250,Campo flicker,Colaptes campestroides,36.7
251,"Whale, killer",Orcinus orca,7.8
252,Common mynah,Acridotheres tristis,63.6
253,Common waterbuck,Kobus defassa,54.2
254,Australian sea lion,Neophoca cinerea,11.2
255,Weeper capuchin,Cebus nigrivittatus,47.7
256,"Hartebeest, coke's",Alcelaphus buselaphus cokii,26.8
257,"Gull, lava",Larus fuliginosus,42.6
258,"Crane, brolga",Grus rubicundus,55.0
259,Koala,Phascolarctos cinereus,27.2
260,Long-tailed spotted cat,Felis wiedi or Leopardus weidi,49.1
261,Cheetah,Acinynox jubatus,65.3
262,"Cormorant, large",Phalacrocorax carbo,69.7
263,"Colobus, magistrate black",Colobus guerza,57.7
264,Black-necked stork,Ephippiorhynchus mycteria,55.8
265,Weeper capuchin,Cebus nigrivittatus,67.6
266,Black-backed jackal,Canis mesomelas,31.2
267,"Viper, egyptian",Naja haje,48.6
268,"Thrasher, curve-billed",Toxostoma curvirostre,6.5
269,"Spoonbill, european",Platalea leucordia,26.2
270,North American beaver,Castor canadensis,67.8
271,African polecat,Ictonyx striatus,44.4
272,"Crane, wattled",Bugeranus caruncalatus,4.5
273,Water monitor,Varanus salvator,59.0
274,Glossy starling (unidentified),Lamprotornis sp.,47.6
275,"Bandicoot, long-nosed",Perameles nasuta,23.2
276,"Skunk, striped",Mephitis mephitis,0.9
277,"Zorro, azara's",Pseudalopex gymnocercus,60.0
278,Moose,Alces alces,46.7
279,"Porcupine, indian",Hystrix indica,52.1
280,Black-collared barbet,Lybius torquatus,12.0
281,Bahama pintail,Anas bahamensis,44.8
282,Native cat,Dasyurus viverrinus,0.7
283,"Ferret, black-footed",Mustela nigripes,8.3
284,"Boa, mexican",Boa constrictor mexicana,13.2
285,"Heron, gray",Ardea cinerea,42.1
286,Hottentot teal,Anas punctata,41.8
287,Little grebe,Tachybaptus ruficollis,15.9
288,"Jackrabbit, white-tailed",Lepus townsendii,38.7
289,Red-billed buffalo weaver,Bubalornis niger,23.0
290,African lion,Panthera leo,66.3
291,Greater sage grouse,Centrocercus urophasianus,1.6
292,"Frogmouth, tawny",Podargus strigoides,65.0
293,"Python, carpet",Morelia spilotes variegata,49.4
294,"Goat, mountain",Oreamnos americanus,62.3
295,African fish eagle,Haliaetus vocifer,40.9
296,Javanese cormorant,Phalacrocorax niger,68.3
297,Kongoni,Alcelaphus buselaphus cokii,2.9
298,Vervet monkey,Cercopithecus aethiops,46.2
299,"Possum, pygmy",Acrobates pygmaeus,29.2
300,Reindeer,Rangifer tarandus,57.1
301,Swallow (unidentified),unavailable,40.1
302,Three-banded plover,Charadrius tricollaris,44.9
303,Osprey,Pandon haliaetus,51.7
304,Gerenuk,Litrocranius walleri,1.4
305,Mourning collared dove,Streptopelia decipiens,52.9
306,African wild cat,Felis silvestris lybica,16.4
307,Indian star tortoise,Geochelone elegans,26.0
308,African snake (unidentified),unavailable,3.0
309,"Spider, wolf",Lycosa godeffroyi,1.3
310,Least chipmunk,Eutamias minimus,40.1
311,Eurasian beaver,Castor fiber,49.7
312,Nubian bee-eater,Merops nubicus,25.4
313,"Dog, african wild",Lycaon pictus,68.3
314,Puma,Felis concolor,22.2
315,"Quoll, spotted-tailed",Dasyurus maculatus,63.3
316,"Goose, egyptian",Alopochen aegyptiacus,29.5
317,"Cormorant, little",Phalacrocorax niger,46.7
318,Bahama pintail,Anas bahamensis,56.1
319,Great horned owl,Bubo virginianus,28.1
320,Grey lourie,Lorythaixoides concolor,68.0
321,"Plover, three-banded",Charadrius tricollaris,7.3
322,"Bustard, denham's",Neotis denhami,40.1
323,"Deer, swamp",Cervus duvauceli,50.3
324,Malleefowl,Leipoa ocellata,43.6
325,"Squirrel, antelope ground",Ammospermophilus nelsoni,56.1
326,"Spoonbill, white",Platalea leucordia,57.4
327,"Swan, black",Cygnus atratus,39.7
328,"Deer, spotted",Axis axis,56.0
329,"Dunnart, fat-tailed",Smithopsis crassicaudata,28.0
330,Sun gazer,Cordylus giganteus,47.6
331,"Wagtail, african pied",Motacilla aguimp,33.4
332,"Monkey, vervet",Cercopithecus aethiops,68.4
333,Butterfly (unidentified),unavailable,48.9
334,Gerenuk,Litrocranius walleri,44.6
335,Ring dove,Columba palumbus,50.6
336,"Otter, canadian river",Lutra canadensis,65.8
337,"Coatimundi, ring-tailed",Nasua nasua,10.3
338,White-lipped peccary,Tayassu pecari,44.7
339,Striped skunk,Mephitis mephitis,0.7
340,"Bulbul, black-fronted",Pycnonotus nigricans,65.6
341,Agouti,Dasyprocta leporina,14.1
342,Lesser flamingo,Phoeniconaias minor,52.3
343,American marten,Martes americana,51.8
344,Toddy cat,Paradoxurus hermaphroditus,28.6
345,"Langur, gray",Semnopithecus entellus,2.0
346,"Turaco, violet-crested",Tauraco porphyrelophus,13.1
347,Greater flamingo,Phoenicopterus ruber,50.6
348,"Mockingbird, galapagos",Nesomimus trifasciatus,31.2
349,"Skua, long-tailed",Stercorarius longicausus,40.3
350,"Monkey, rhesus",Macaca mulatta,38.9
351,Zorilla,Ictonyx striatus,49.5
352,White-tailed jackrabbit,Lepus townsendii,19.8
353,Western pygmy possum,Cercatetus concinnus,20.3
354,Stick insect,Leprocaulinus vipera,32.3
355,Spectacled caiman,Caiman crocodilus,59.1
356,Indian leopard,Panthera pardus,57.8
357,"Baboon, olive",Papio cynocephalus,59.7
358,Brush-tailed bettong,Bettongia penicillata,10.4
359,Horned rattlesnake,Crotalus cerastes,11.7
360,Kinkajou,Potos flavus,44.5
361,Common duiker,Sylvicapra grimma,10.4
362,Ostrich,Struthio camelus,51.8
363,Chestnut weaver,Ploceus rubiginosus,58.3
364,Eastern cottontail rabbit,Sylvilagus floridanus,1.8
365,"Stork, woolly-necked",Ciconia episcopus,48.6
366,"Pelican, eastern white",Pelecans onocratalus,48.7
367,Egyptian vulture,Neophron percnopterus,44.9
368,Jungle kangaroo,Macropus agilis,19.6
369,Pacific gull,Gabianus pacificus,43.4
370,"Antelope, roan",Hippotragus equinus,6.5
371,Swallow-tail gull,Creagrus furcatus,40.6
372,"Marmot, yellow-bellied",Marmota flaviventris,68.0
373,"Waxbill, blue",Uraeginthus angolensis,28.0
374,"Heron, yellow-crowned night",Nyctanassa violacea,14.2
375,Pale white-eye,Zosterops pallidus,48.6
376,"Gull, kelp",Larus dominicanus,45.1
377,"Admiral, indian red",Vanessa indica,19.3
378,"Bear, black",Ursus americanus,17.1
379,African wild cat,Felis silvestris lybica,12.2
380,"Penguin, galapagos",Spheniscus mendiculus,30.5
381,Black vulture,Aegypius tracheliotus,46.7
382,Eurasian red squirrel,Sciurus vulgaris,69.8
383,"Boubou, southern",Laniarius ferrugineus,10.4
384,White-nosed coatimundi,Nasua narica,9.6
385,American bighorn sheep,Ovis canadensis,29.7
386,"Duck, white-faced whistling",Dendrocygna viduata,25.2
387,Civet (unidentified),unavailable,35.9
388,Lapwing (unidentified),Vanellus sp.,55.9
389,Great white pelican,Pelecans onocratalus,46.0
390,Azara's zorro,Pseudalopex gymnocercus,52.2
391,"Mynah, indian",Acridotheres tristis,15.9
392,"Racer, blue",Coluber constrictor foxii,69.8
393,Giant otter,Pteronura brasiliensis,52.6
394,Bald eagle,Haliaeetus leucocephalus,47.1
395,Kirk's dik dik,Madoqua kirkii,3.1
396,"Camel, dromedary",Camelus dromedarius,15.9
397,"Lizard, frilled",Chlamydosaurus kingii,15.5
398,"Rattlesnake, dusky",Crotalus triseriatus,18.3
399,"Goose, cape barren",Cereopsis novaehollandiae,61.9
400,American crow,Corvus brachyrhynchos,1.4
401,Blue duck,Hymenolaimus malacorhynchus,4.1
402,"Zebra, plains",Equus burchelli,65.4
403,Black bear,Ursus americanus,23.6
404,Dromedary camel,Camelus dromedarius,8.1
405,"Hen, sage",Centrocercus urophasianus,63.2
406,"Turkey, australian brush",Alectura lathami,62.4
407,"Turkey, wild",Meleagris gallopavo,47.5
408,Moose,Alces alces,31.3
409,Small Indian mongoose,Herpestes javanicus,9.2
410,"Cockatoo, roseate",Eolophus roseicapillus,66.0
411,Common green iguana,Iguana iguana,1.1
412,"Colobus, white-mantled",Colobus guerza,57.9
413,"Goat, mountain",Oreamnos americanus,17.9
414,"Deer, spotted",Axis axis,22.2
415,Egyptian goose,Alopochen aegyptiacus,34.8
416,"Monkey, red howler",Alouatta seniculus,24.0
417,Mule deer,Odocoileus hemionus,7.9
418,"Genet, common",Genetta genetta,26.0
419,Sally lightfoot crab,Graspus graspus,1.0
420,Chimpanzee,Pan troglodytes,17.6
421,"Vulture, white-headed",Aegypius occipitalis,24.0
422,"Elephant, asian",Elephas maximus bengalensis,49.8
423,Miner's cat,Bassariscus astutus,16.2
424,Leadbeateri's ground hornbill,Bucorvus leadbeateri,16.3
425,"Dove, emerald-spotted wood",Turtur chalcospilos,48.1
426,"Booby, blue-footed",Sula nebouxii,48.7
427,Sarus crane,Grus antigone,39.8
428,Roseate cockatoo,Eolophus roseicapillus,17.3
429,Leopard,Panthera pardus,56.0
430,"Dik, kirk's dik",Madoqua kirkii,30.8
431,"Boa, cook's tree",Corallus hortulanus cooki,51.6
432,"Hawk, red-tailed",Buteo jamaicensis,9.9
433,Indian peacock,Pavo cristatus,57.6
434,"Wallaby, agile",Macropus agilis,16.1
435,"Grebe, little",Tachybaptus ruficollis,5.6
436,Common grenadier,Uraeginthus granatina,37.0
437,Sally lightfoot crab,Graspus graspus,58.1
438,"Bleu, red-cheeked cordon",Uraeginthus bengalus,65.8
439,"Boa, cook's tree",Corallus hortulanus cooki,53.0
440,"Deer, roe",Capreolus capreolus,67.5
441,"Buffalo, wild water",Bubalus arnee,25.7
442,"Vulture, white-headed",Aegypius occipitalis,59.0
443,"Cat, native",Dasyurus viverrinus,42.6
444,Western spotted skunk,Spilogale gracilis,26.3
445,"Hen, sage",Centrocercus urophasianus,59.6
446,Red kangaroo,Macropus rufus,32.9
447,"Pelican, brown",Pelecanus occidentalis,8.6
448,"Woodcock, american",Scolopax minor,56.5
449,Sally lightfoot crab,Graspus graspus,33.4
450,"Screamer, southern",Chauna torquata,54.3
451,"Phalarope, red-necked",Phalaropus lobatus,55.7
452,Common green iguana,Iguana iguana,7.5
453,"Colobus, black and white",Colobus guerza,58.8
454,"Dolphin, bottle-nose",Tursiops truncatus,18.6
455,Red-headed woodpecker,Melanerpes erythrocephalus,61.9
456,Puma,Felis concolor,36.4
457,Snow goose,Anser caerulescens,37.3
458,Water moccasin,Agkistrodon piscivorus,57.8
459,Red-legged pademelon,Thylogale stigmatica,69.0
460,"Sheathbill, snowy",Chionis alba,20.1
461,Horned puffin,Fratercula corniculata,46.4
462,"Rhea, gray",Rhea americana,61.9
463,Red sheep,Ovis ammon,40.7
464,Mouflon,Ovis musimon,26.1
465,"Beaver, eurasian",Castor fiber,40.6
466,Asiatic jackal,Canis aureus,13.7
467,Scottish highland cow,Bos taurus,56.0
468,Tarantula,Lasiodora parahybana,16.7
469,"Bustard, denham's",Neotis denhami,20.3
470,Andean goose,Chloephaga melanoptera,11.5
471,Weeper capuchin,Cebus nigrivittatus,23.1
472,Eastern grey kangaroo,Macropus giganteus,4.2
473,"Siskin, pine",Carduelis pinus,55.9
474,Bengal vulture,Gyps bengalensis,67.2
475,American beaver,Castor canadensis,26.9
476,"Dragon, ornate rock",Ctenophorus ornatus,13.7
477,Vine snake (unidentified),Oxybelis sp.,60.9
478,Southern hairy-nosed wombat,Lasiorhinus latifrons,10.3
479,Cape clawless otter,Aonyx capensis,5.2
480,European shelduck,Tadorna tadorna,4.1
481,Burchell's gonolek,Laniaurius atrococcineus,1.3
482,Ring-necked pheasant,Phasianus colchicus,59.7
483,"Cobra, cape",Naja nivea,37.2
484,"Elephant, african",Loxodonta africana,25.0
485,Giant heron,Ardea golieth,67.3
486,"Flycatcher, tyrant",Myiarchus tuberculifer,35.0
487,Tyrant flycatcher,Myiarchus tuberculifer,67.4
488,Stanley bustard,Neotis denhami,65.6
489,Grey lourie,Lorythaixoides concolor,3.2
490,"Lemur, ring-tailed",Lemur catta,4.5
491,"Eagle, white-bellied sea",Haliaetus leucogaster,10.7
492,"Vulture, white-rumped",Gyps bengalensis,60.9
493,"White-eye, pale",Zosterops pallidus,65.1
494,Northern phalarope,Phalaropus lobatus,26.8
495,Gray duiker,Sylvicapra grimma,47.3
496,"Bear, black",Ursus americanus,59.1
497,"Puffin, horned",Fratercula corniculata,0.9
498,"Stork, saddle-billed",Ephipplorhynchus senegalensis,5.3
499,Red-billed hornbill,Tockus erythrorhyncus,4.8
500,Cattle egret,Bubulcus ibis,0.8
501,"Penguin, galapagos",Spheniscus mendiculus,12.3
502,"Woodcock, american",Scolopax minor,37.6
503,"Cat, long-tailed spotted",Felis wiedi or Leopardus weidi,13.1
504,Common seal,Phoca vitulina,49.6
505,African ground squirrel (unidentified),Xerus sp.,25.0
506,Greater roadrunner,Geococcyx californianus,16.1
507,"Crab, sally lightfoot",Graspus graspus,3.1
508,"Pie, rufous tree",Dendrocitta vagabunda,31.3
509,Currasow (unidentified),Crax sp.,22.5
510,"Armadillo, nine-banded",Dasypus novemcinctus,13.9
511,Potoroo,Potorous tridactylus,65.9
512,"Gnu, brindled",Connochaetus taurinus,8.7
513,"Pie, indian tree",Dendrocitta vagabunda,36.3
514,Pale-throated three-toed sloth,Bradypus tridactylus,62.0
515,"Gecko, barking",Phylurus milli,65.0
516,Tayra,Eira barbata,46.6
517,Honey badger,Mellivora capensis,53.5
518,Blue wildebeest,Connochaetus taurinus,65.9
519,Little blue penguin,Eudyptula minor,12.5
520,Green-winged macaw,Ara chloroptera,50.0
521,Kalahari scrub robin,Certotrichas paena,11.2
522,"Buffalo, wild water",Bubalus arnee,69.2
523,Dark-winged trumpeter,Psophia viridis,12.0
524,Asian water dragon,Physignathus cocincinus,2.2
525,"Phalarope, grey",Phalaropus fulicarius,47.0
526,Great kiskadee,Pitangus sulphuratus,37.2
527,"Cat, native",Dasyurus viverrinus,12.4
528,"Robin, kalahari scrub",Certotrichas paena,53.0
529,Tayra,Eira barbata,10.8
530,Galapagos dove,Zenaida galapagoensis,55.4
531,"Shrew, mandras tree",Anathana ellioti,17.4
532,"Snake, tiger",Notechis semmiannulatus,20.6
533,African polecat,Ictonyx striatus,68.6
534,"Sheep, stone",Ovis dalli stonei,55.6
535,Common zorro,Dusicyon thous,54.7
536,"Possum, golden brush-tailed",Trichosurus vulpecula,40.3
537,Sockeye salmon,Oncorhynchus nerka,63.4
538,Scottish highland cow,Bos taurus,34.9
539,"Turaco, violet-crested",Tauraco porphyrelophus,38.1
540,"Kangaroo, western grey",Macropus fuliginosus,6.6
541,Western lowland gorilla,Gorilla gorilla,68.3
542,"Roller, lilac-breasted",Coracias caudata,19.1
543,"Bunting, crested",Melophus lathami,16.1
544,Blue duck,Hymenolaimus malacorhynchus,31.6
545,"Bird, pied butcher",Cracticus nigroagularis,49.7
546,Gray duiker,Sylvicapra grimma,40.9
547,Eastern quoll,Dasyurus viverrinus,60.6
548,Tiger cat,Dasyurus maculatus,55.0
